dav,swa
Ghenda hata kwake kuwone seji usirie,Enda hata kwake uone vile amekondeana
Mudi ghuko kavui na mzi ghokunda ghudemo,Mti uliokaribu na nyumbani unatakikana ukatwe
Kwafuma kwa weni ani aho cha Rong'e,Umetoka kwa kina nani hapo Rong'e
Kwaki usebonya malagho ghake nicha na wandu wose,Kwa nini asifanye maneno yake vizzuri na watu wote
Jeko ilaghoki mundu kufuma mzawo na uende uwike maranu ghake,Liko jambo gani mtu kutoka kwao na aende aweke mifugo yake
Makongo mengi gharedwa ni machi machafu,Magonjwa mengi yameletwa na maji machafu
Mwakisachi odenda kotelwa seji wawendelea na maisha ghake,Mwakisachi alienda kuliziwa vile anaendelea na maisha yake
"Nde Samba ni mwalimu, wanawake wemkunda",Babake Samba ni mwalimu watoto wake wanampenda
Melvin odenda kishamba kwa mao ughuo lumalwakenyi,Melvin alienda kishamba kwa mama jana jioni
Mfwa Samba wadawaghwa Cherish,Mtotot wa Samba anaitwa Cherish
Kufuma Sylviah uende cha Turkey ndedidedanye,Kutoka Sylviah aende kule Turkey hatujaongea
Grace ndeuko mzinyi waenda cha Makadara uzighano kama wahoa,Grace hayuko nyumbani amenda Makadara kuangaliwa kama amepona
Mzi ghwa weke Tina ghodukwa ni vua yose putu,Nyumba ya kina Tina ilibebwa na mvua yote kabisa
Uhu uko na lukundo lwa loli wadawonekana ghwa malagho ghake,Yule alie na upendo wa kweli anaoenakana kwa matendo yake
Ichi nekoghe nacho nemneka uende ujitesie nacho,Hichi nilichokuwa nacho nilimpea aende ajisaidie nacho
Niko nawenda cha mzinyi niwone mbari yapo,Ndiko naenda nyumbani kuona uko wangu
Ighembe ijo jilimagha ni japo nijighuie,Jembe langu hilo lilimalo ni langu nililonunua
Uhu useghendie skulu wakotelwa ni chifu uende umbone,Yule hajaenda shuleni ameuliziwa na chifu aende amuone
Mao odekuzera kwende kughuo wusiku na wusiku,Mama alikuambia uende unununue hiki na hiki
Chadu nichiwone aha ighuo nicho icho nichikunde,Kiatu nilichokiona hapa jana ndicho icho nakitaka
Isi dieka niweni didima kupoisa isanga jedu jisenoneke,Sisi peke yetu ndio tunaweza kutengeza nchi yetu isiharibike
Nekutika inmoni na isoka jha mao nikibara mbande,Nilijigonga mwenyewe na shoka la mama nikipasua kuni
Namanya ngolo yako ekunda kumkabe ujha mdawana wachilu,Najuwa moyo wako unataka kumpika yule kijana mweupe
Wedeghora waweiwa marughu gha wandu nambe wedejikalia weni,Walisema wanaiba mandizi ya watu kumbe wanajidanganya wenyewe
Mdawana osindakunda kukaba mae ukafungwa mkonu ni wandu,Kijana alitaka kumpiga mamake akafungwa mkono na wat
Ini mdumiki wako nadalindia ngondi ra aba,Mimi mtumishi wako nachunga kondo za baba
Mburi ra mzuri refwa rose rendapata wukongo,Mbuzi za tajiri zilikufa zote zilipopata ugonjwa
Mapemba ghose ghifumie mbuwenyi ghewikwa kidundunyi,Mahindi yote yaliyotoka shambani yaliwekwa kwa hifadhi
Kila munndu unyo chai na iole,Kila mtu anywe chai na kiporo
Ulemwa kusikira nde na mae ufo kifwa,Anaeshindwa kumti baba na mama yake na afe kifo
Kwahoresha?,Umepona?
Kwasinda pinana?,Umeshinda salama?
Nasinda pinana.,Nimeshinda salama.
Ngera kwa marina kwawangwa ani?,"Je, kwa majina waitwa nani?"
Marina ghapo nawangwa Mandi.,Majina yangu naitwa Mandi.
Ngera kwabonya chaghuki?,"Je, wafanya kazi gani?"
Chaghu chapo niche limalima.,Kazi yangu ni ya ukulima.
Sisaghua icho chose nadabonya tu.,"Sichagui, yoyote nafanya."
Na ngera koko na miaka ilinga?,"Hivi je, uko na umri upi?"
Miaka rapo ni mrongo ina na ina.,Umri wangu ni miaka arubaini na nne.
Iji ni isanga jha?,Huu ni mji wa wapi?
Jha woi.,Wa Voi.
Dawida Tuweta angu ni Mombasa?,Taita Taveta ama ni Mombasa?
Niko dawekaia.,Ndio tunapokaa.
"Na dikengia kwa wupande ghwa wukulima, aha vindo viwalwaghwa ni wandu veuza ni vindoki sana sana?","Tukifikia upande wa ukulima, hapa ndipo chakula hupandwa na wauzaji na ni chakula aina gani haswa?"
Aha dalima sukuma na tindi niro niwonagha rawebonya nicha zaidi aha dawida.,Hapa Sukuma wiki na nyanya ndio hufanya vyema sana hapa Taita.
Na ngera sukuma kwa kidawida niki?,Pengine sukuma wiki kwa lugha ya kitaita huitwa aje?
Sukuma neichi kwa kidawida dadatumia sukuma dighore dadawanga tu sukuma niecheni ditumia ijo irina.,Kwa kitaita sisi hutumia jina lilo hilo tu
"Na ngera kama niwupande ghobonya kama zoghori huwu wakati wandu wawa vindo vawo, mwauzira masanga ghia na ghia?",Tuseme kama hiki ni kilimo biashara watu wakipanda mazao hayo huwa mnauzia akina nani ama mnapeleka wapi na wapi?
Dauza daendagha hata Mombasa daendagha hata wundanyi anya mzedu pia dadazungushirana diweni kwa diweni.,"Kwa kuuza mazao sisi huenda Wundanyi, Mombasa na hata pia tunauzia wakazi wa papa hapa."
Dikengiria kwa wupande ghwa hali ya anga seji yabadilika ngera yakaiakaia wada isanga jaghaluka kiasiki kwa ughu mpande?,Tukiangalia kulingana na tabia nchi unaweza sema hapa hali imebadilika kwa kiwango gani hapa Taita?
"Dighore isanga jha badilika kwa wundu mruke ghwazidi, vua yalaghaya, vindo pia valaghaya.","Tuseme hali imebadilika kwa sababu joto limezidi, mvua imepotea na pia chakula hakipo."
Sasa vindo vakaiya vitini ndeviwekata wandu.,Chakula kwa sasa kimekuwa haba na hakitoshi
Aho nio dawona yawaumiza wandu zaidi.,Hapo ndio naona watu wanaumia zaidi
Kuoma kwa Isanga kwareda agho malagho ghose?,Ukame ndio umeleta yote hayo.
Na ngera yadima kukaiya shekeria ni kii?,Pengine sqababu haswqa inaweza kuwa ni ipi?
Vua ndeiwewonekana.,Mvua haipo.
Vua ndeiko na isanga jaoma pengine shekeria mbaha ni ki?,Mvua haipo na kumekauka sana pengine sababu ni nini?
Midi rademwa zaidi,Miti imekatwa sana.
Isanga janonwa ni mawughanga,Ardhi imeharibiwa na kemikali
Kutesia agha malagho ghiseendelie kukaiya huwo wandu wadima wibonye wada?,Ili kusaidia hali isiendelee kuwa hivyo watu wanapaswa kufanya nini?
Kuwa midi kwawetesia na kupoisa pia kukota msangagha kwareda malagho mengi pia machi ghalaghaya ndeghiwewoneka,Upanzi wa miti unasaidia pia uvunaji wa mchanga umechangia maji kupitea
Diaisiria agho malagho ghose isanga jighoka,Tukitilia maanani hayo mambo nchi itapendeza
Mundu wadima ukaiye Mwisilamu amu Mkristo na usekaiye na irumiro jhingi,Mtu anaweza kwa Muisilamu ama Mkristu na asikae na imani yeyote
Oho koko na irumirio jiao,Wewe imani yako ni ipi
Irumirio jhapo ini ni Mkristo,Mimi ni mkristo
Wa ikanisa jhiao?,Wa kanisa gani?
Kwa malagho gha afya aho wughangenyi ni kavui?,Maswala ya afya hapo zahanatini ni karibu?
Hee ni kavui,Ndio ni karibu
Kwahuwo ngera mundu wapata wasi wadima ukimbie/ ulase iseghe,Mtu akipatwa na dharura anaweza kuwai kwa haraka?
Ngera aho wughangeny kwaine wuvamizi ghungi angu ni wada?,Hapo zahanatini kuna shida zipi
Kilambo chisewepatikana ni mawughanga,Dawa ndizo hazipatikani.
Na warighiti aje wekwaeni wawebonya kazi nicha?,Je wahudumu wanafanya kazi yao vizuri?
Kazi wawebonya shida tuu ni agho mawughanga ghisewepatikana,Kazi wanafanya vizuri shida ni kuwa madawa hayapo.
Na ni kii chadima chibonyo kwa hali sa iro ikaiye ya maana?,Na kipi kinaweza fanywa ili hali iwe ya kufana.
Kilongozi wa mzedu ungirie ghadi uche uzighane umanye aha shida iko.,Kiongozi wetu anapaswa aingilie kati swala hili ajue shida inatokea wapi
Ima dipate mawughanga aha mzedu,Ili tuweze kupata madawa hapa kwetu.
Na nikekotia kwa makongo agha ghiko sana sana ni makongo ghiao,Na nikiuliza kwa sana ni maghonjwa gani yanayowakumba sana huki?
Wukongo ghwa malaria.,Ugonjwa wa Malaria.
Mbai na malaria ni makongo ghiao ghawawoneka ngelo kwa ngelo?,Kando na Malaria ni magonjwa gani yanawakumba mara kwa mara?
Kukoa koa pia.,Kukohoa pia.
Yadima kukaiya shekeria ni kii?,Kwa maoni yako chanzo kinaweza kuwa ni kipi?
"Vumbi, Mbeo pia yekwaeni.",Vumbi na baridi ipo pia.
Dadima ngera dizere hali ya agho makongo yakundikie wandu wibonye wada?,Twaweza kusema pengine hali ya magonjwa hayo watu wanapaswa wafanye nini?
Wana wawesarigha kiwachenyi,Watoto wanacheza uwanjani
Wovutwa chaghu kwa wughade ghwake,Alipigwa kalamu kwa uvivu wake
Johana ni mbori mbaha,Yohana ni mwimbaji mkubwa
Chuo chapo chasi,Kitabu changu kimeisha
Iriko jaweaka nicha,Jiko linawaka vizuri
Kitoi chekabwa ni wandu,Mwizi alipigwa na watu
Mwatulituli wapu warima,Simu yangu imezima
Machi modenyi ghaoma,Maji mtoni yamekauka
Kibobo cha mavuda chabarika,Mkebe wa mafutaq umepasuka
Wuli ghwakeghwachika,Kitanda chake kimevunjika
Vua yanya dime ghadi,Mvua imenyesha mchana kutwa
Mao mawedeka va mbao,Mama anapika chapati
Nguluma risingie ni rekanga,Samaki tamu ni za kukaanga
Mwasare wapo udapoilwa na nguwo ra mkundu,Somo wangu hupenda nguo nyekundu
Ukaseka udadikwa ni mbori,"Akicheka, machozi humtiriririka"
Naenda dema nyasi,Naenda kukata nyasi
Wavi waenda kwa ikwanyiko skulu,Wazazi wameenda kwa mkutano shuleni
Aba udadamba njumwa ichagha,Baba atasafiri wiki ijayo
Welwa kwa wundu ghwa magome,Walipigana sababu ya pesa
Nguku rapo rawekongodia,Kuku zangu zinalalia mayai
Kira chakamba,Giza limetanda
Meso ghake ghawemja,Macho yake yanauma
Iruwa jadareda mwengere,Jua huleta mwangaza
Waje wai waichi kuvina,Wasichana wale wanajua kucheza
Wana wapoilwagha ni kusarigha shu,Watoto hupenda kucheza sana
Kizenya chadachuria bagha,Mchicha huongeza damu
Manga mbishi wasingiye,Muhoggo mbichi ni mtamu
Igho itini jhaendagha kla,Jiwe dogo huenda mbali
Agha makoto ghekua,Maswali haya ni magumu
Taya rarimishwa,Taa zimezimwa
Mkongo wawesoda kwa wasi,Mgonjwa napumua kwa shida
Ukasowa vindo udasinda njala,Akikosa chakuloa atashinda njaa
Mori ghudafuma nakio,Mwezi hutoka usiku
Finyingo isingie ni ya nguku,Nyama tamu ni ya kuku
Ng'ondi ndeine suku/Mwambori,Kondoo haina akili
Mdi ghwawudikia chienyi,Mti umeangukia njiani
Moda ghwachua machi,Mto umejaa maji
Mapemba ghawealilwa,Mahindi yanapaliliwa
Dawekunda kuwaya matunda,Tunataka kuchuna matunda
Chadu kimweri chalaghaya,Kiatu kimoja kimepotea
Walaghasha ighuri jhose,Amepoteza pesa zote
Chije kilole chachika,Kioo kile kimevunjika
Matuku gha njumwa ni mfungade,Siku za juma ni saba
Mwai uhu woka na kifu/mzigo,Msichana huyu ni mja mzito
Mwanidu ndeichi kushoma,Ndugu yangu hajui kusoma
Mwawu waenda chaghunyi,Mjomba ameenda kazini
Ambango udawangw wakio,Mama mkwe anaitwa Wakio
Wawelisha mbuwenyi kwawo/mzawo,Anachunga shambani kwao
Ng'ombe reka boronyi,Ng'ombe ziko zizini
Nyerinyeri raweng'alang'ala,Nyota zinang'aa
Mbeo idashekeria makongo,Baridi inasababisha maradhi
Isanga jhedu jeko na sere,Nchi yetu ina amani
Fwandi yachika lwau,Beberu imevunjika mguu
Waduka machi chongo,Amebeba maji kichwani
Ojha na fete,Alikula bila kunawa mikono
Walumwa ni mwambandenyi,Ameumwa na nge
Udadaya machi kisimenyi,Atachota maji kisimani
Waweghenda na maghu,Anaenda kwa miguu
Ndekundwo kwa ndasanya rake,Hapendwi kwa fitina zake
Momu ghwako ghonivikia kiramka,Ujumbe wako ulinifikia jumatatu
Vadu vake verashuka,Viatu vyake vimeraruka
Wawa wakunulwa shongolo,Nyanya amenyolewa kipara
Abongo ndeshanuye iridia,Mjomba hajachana nywele
Shekeria yelwa ni ki/ iyao?,Sababu ya kupigana ni nini?
Malagho ghizamie ghadareda wuda.,Maneno machafu huleta fujo
Mundu wa isu wawedikwa ni luda,Mwendawazimu anatokwa na nyute
Wameisha machi ghe ogha,Anachemsha maji ya kuoga
Warwa nguwo iluye,Amevalia nguo chafu
Mavuda ghekushinga ghasiya,Mafuta ya kujipaka yameisha
Mosi ghwa igari ni ghwa chilu,Moshi wa gari ni mweusi
Dawesera vindo luma,Tumengojea chakula kwa muda
Wavavirika/Washoghonoka ukisarigha mdinyi,Ameumia akicheza mtini
Nedelemwa kuruwuka moda,Nilishindwa kuvuka mto
Luzi lwadumbuka,Uzi umekatika
Diendagha mghondinyi kifulanguwo,Tutaenda mlimani Jumamosi
Kughora loli awa wana weng'eta,Kusema kweli hawa watoto ni wajeuri
Mbuwa ihi yenoa,Shamba hili lina rotuba
Makungughu gha vua ndeghiwonekie,Mawingu ya mvua hayajaonekana
Mbari ya wea wa mbengo ni ya washomi,Kabila la wajaluo ni la wasomi
Wumweri ni ndighi,Umoja ni nguvu
Nyonyi repuruka renda kumbwa na igho,Ndege walipaa waliporushiwa jiwe
Demlola msidunyi wendalaghaya,Tulimtafuta msituni alipopotea
Demara chia zima dikalaghaya,Tulipata njia tofauti tukapotea
Fwandi yelaghaya kose,Stima ilipotea kote
Aghaje marghu ghawurwa,Ndizi zile zimeiva
Mwana ndemanyire kudeda nicha,Mtoto hajajua kuongea vizuri
Mterengo ghwasighwa ghwari/mwari,Mlango umewachwa wazi
Rwai ridareda malaria,Mbu huleta malaria
Kifurute chakuka mawawa,Kipepeo kimekatika mabawa
Lumbo lwa isanga lwasingie,Wimbo wa taifa ni mtamu
Weke mwawu waenda wupenyi,Wajomba wameenda kutoa mahari
Chofi yambonya utarume,Pombe imemfanya kukonda
Waweshowa vilamba,Wnaokota mabuyu
Chumbo ra kala radahoresha ngolo,Nyimbo za kale hutuliza nyoyo
Ishati jhake ni jha misharia,Shati lake ni la mistari
Machu ghake ghezama,Hasira zake ni mbaya
Vindo vapo vahoa,Chakula changu kimepoa
Wawa oshagha niduwagha mwana,Nyanya alikufa nikiwa mchanga
Wavisa mapemba mbangenyi,Wameficha mahindi pangoni
Daweenda kota mbia,Tunaenda kuchimba kaburi
Mburi idasichwa lawuke,Mbuzi itachinjwa kesho kutwa
Dedamba icho lumalwakenyi,Tulisafiri jzi jioni
Waghenyi wiacha kana,Wageni watakuja alhamisi
Rimishenyi taya mkelala,Zimeni taa mkilala
Wobecha wendameria kuja,Aliteuka alipomaliza kula
Iwanu jhalaghaya,Mshale umepotea
Waje wandu wesuana,Watu wale wanachukiana
Wakabwa ngonde ya Kidari/lagha,Amepigwa ngumi kwa kifua
Mbvua yake yawerucha pagha/ Msanga mbua,Pua yake inavuja damu
Diwonane ngelo zima,Tuonane baadaye
Midi raoma,Miti imekauka
Vindo vabia chumbi,Chakula kimezidi chumvi
Wawediwa nyamandu ra isakenyi,Wanawinda wanyama pori
Dawekora majala,Tunachoma takataka
Wolegha ichi uwangilo,Alikataa alichoitiwa
Ni kiwiwi kulwmwa kumeria chaghu cha wandu,Ni makosa kutomaliza kazi ya wenyewe
Mlisha ndeendie kulisha,Mchungaji hajenda kuchunga
Iembe jewoa,Embe limeoza
Sile ya isanga ni mbaa,Deni la nchi ni kubwa
Nitesie na machi ghenywa,Nisaidie na maji ya kunywa
Kwakunda nikutesie wada?,Unataka nikusaidieje?
Ghenda kulole chaghu che bonya,Enda ukatafute kazi ufanye
Cho aha nikughorie/ nikumumuye,Kuja hapa nikuambie
Chonda ndechihorie,Kidonda hakijapona
Nyungu yabarika,Chungu kimevunjika
Nasilwa,Nimechoka
Nakunda nihoreshe/ nizumuo,Nataka nipumzike
Deda mboa mboa,Ongea pole pole
Agha machi ghaela,Maji haya ni safi
Wusaghui ghwaida,Uchaguzi umepita
Wavivinyika mwindi/ lwau,Ameteguka mguu
Naririkanya ikoto ukoreghe,Nimekumbuka swali alilouliza
Savi rawedoghoda,Pojo zinatokota
Choro chawuduka,Choo kimeanguka
Ngera kwadeka?,Pengine umepika?
Koshi yaweboka.,Mbwa anabweka
Nawemwonea wughoma kwa agha waweidia,Namuonea huruma kwa anayopitia
Kukalemwa nighorie,Ukishindwa niambie
Mlungu udirasimie,Mungu atubariki
"Zighana kiimbiri, kuseghaluke","Angalia mbele, usigeuke"
Wawewesera mdumiki uwilombie,Wanasubiri mtumishi awaombee
Koko hao?,Uko wapi?
Nawekukotia kama kwawecha,Nakuulizia kama utakuja
Ni ki kwawebonya?,Ni nini unafanya?
Nadagha chuo cha wandu,Nimepoteza kitabu cha wenyewe
Kwatima kulola chaghu kasowa?,Umejaribu kutafuta kazi ukakosa?
Kuseniredie ndasanya,Usiniletee fitina
Isi niwo dipoie,Sisi ndio wazuri
Marwai ghawo ndeghipoiye,Mavazi yao ni mabaya
Ocha kwapo ighuo,Alikuja kwangu jana
Wanilomba nimfuye wughoma,Ananiomba msamaha
Mavuda gha iridia,Mafuta ya nywele
Maghanga ghewongera,Madawa ya kulevya
Ilanga jha choka,Shimo la nyoka
Didekagha ughu mfu ghose,Tutapika unga huu wote
Mghenyi uhu ni odu,Mgeni huyu ni wetu
Dighenda ikanisenyi,Tutaenda Kanisani
Nawevavirika,Ninaumia
Iyauwa iji jawenipoiya,Ua hili linanipendeza
Kesho ni Kifulanguwo,Kesho ni jumamosi
Igari jewuduka chienyi,Gari lilianguka njiani
Omoni ni mrighiti,Yeye ni dakitari
Awa niwo waghenyi wapo,Hawa ndio marafiki wangu
Odineka memu ye zitira,Alitupatia maneno ya kusisitiza
Ini na aba diadamba cha Mwambasa,Mimi na Baba tutasafiri Mombasa
Neka modenyi nawedaya machi,Niko mtoni nachota maji
Uhu mwana mtini ndeuichi kujisha,Mtoto huyu mdogo hajui kulisha
Koshi yake yabirie,Mbwa wake ni mkali
Ughu mghondi ni mlacha kuchumba rose,Mlima huu ni mrefu kuliko yote
Boi wake ni wa chilu fi!,Paka wake ni mweusi tititi
Iduka jha vilole jharughwa mapema,Duka la vioo limefungwa mapema
Kitoi chedejivisa msolowenyi,Mwizi alijificha mvunguni
Dedeka msarighonyi kwendacha,Tulikuwa mchezoni ukija
Chola yangia mrumenyi,Nyoka ameingia shimoni
Mrighiti wacha wona wakongo,Daktari amekuja kuona wagonjwa
Mwalimu woka mashomonyi,Mwalimu yuko masomoni
Neloswa niko dilonyi,Niliota nikiwa usingizini
Mao waweghenda kinyangenyi,Mama anaelekea sokoni
Ni weke ani wighendagha Kisumu?,Ni kina nani wataenda Kisumu?
Nalola mmtorori nikasowa,Nimetafuta gari nikakosa
Yeye ni mwoga,Omoni ni chawowa
Nikughuya vindo kujhe,Nitakununulia chakula ule
Mterengo ughu ghwachika,Mlango huu umevunjika
Makongo ghamu ndeghine maghanga,Magonjwa mengine hayana dawa
Wuki ghwasingie,Asali nit amu
Dediendie kula na kwawo,Hatujaenda mbali na kwao
Deka kavui kuvika mbuwenyi,Tuko karibu kufika shambani
Meso ghake ghaweluma,Macho yake yanauma
Mariwa ghavimba,Maziwa yamechacha
Vaghu ndeviko wandu wawelola,Kazi hakuna watu wanatafuta
Ichi kiwacha cheuzwa,Uwanja huu uliuzwa
Wotala imweri mbaka ikumi,Alihesabu moja hadi kumi
Neka na chadu kiwishi,Nina kiatu kipya
Wizere wiche lawuke,Waambie waje kesho kutwa
Weka na vuo vilazi,Wako na vitabu vingi
Wawechumbana kwa wundu ghwa magome,Wanagombana sababu ya pesa
Kwake ni kula na kwapo,Kwake ni mbali na kwangu
Mariwa ghaweishwa,Maziwa yanachemshwa
Mwana wawelila shu,Mtoto analia sana
Modo ghwa mbande ghwarimishwa,Moto wa kuni umezimwa
Mfu ghwa mapemba/mabemba ghwasia,Unga wa mahindi umeisha
Vadu vasighwa shighadi,Viatu vimeachwa nje
Mwadime wawewongia kisha,Mwadime analewa ovoyo
Mavuda ghekushinga ndeghiko,Mafuta ya kujipaka hayako
Mao waweshona kidasi,Mama anasuka kikapu
Mwalimu wodu ndeuchee,Mwalimu wetu hajakuja
Mghenyu wake ni mkongo,Rafiki yake ni mgonjwa
Wunicha ichi chuo ni chapo,Uzuri hiki kitabu ni changu
Mtorori wazama,Gari limeharibika
Wehiya kiwiwi nyumba yendawada modo,Walichomeka vibaya nyumba iliposhika moto
Wakio wowingwa skulu,Wakio alifukuzwa shuleni
Kwafuma hao sairi?,Umetoka wapi saa hizi?
Ngemi ni raki nakio?,Kelele ni za nini usiku?
Ajhe kwawo ndewiko,Pale kwao hawako
Kevika kunikabie mwatulituli,Ukifika nipigie simu
Ghenda shwa shwa kuwuye,Enda haraka urudi
Wekotelwa marina ghawo,Waliulizwa majina yao
Wawelawilwa kila andu,Anadaiwa kila mahali
Nazerwa niende rapo,Nimeambiwa niende zangu
Sikundikie nilile kisha,Sitakikani nilie ovyo
Sikunde kilambo chungi,Sitaki kitu chochote
Kuseniredie wukelu ghwako,Usiniletee upuzi wako
Chaghu cha wandu chanilema,Kazi ya wenyewe imenishinda
Oho kwawangwagha ani?,Wewe unaitwa nani?
Diwiselia kwawo kifulanguwo,Tutawatembelea kwao jumamosi
Machilia woshinika kuniwona,Machila alishangaa kuniona
Nineke vindo nijhe,Nipe chakula nile
Linu ni kadadu,Leo ni jumatano
Kwaichi kubung'a?,Wajua kuogelea?
Cho lawuke kunikua,Njoo keshokutwa utanipata
Niadamba kio ghadi,Nitasafiri usiku kucha
Tee radanonia wandu,Uongo huharibia watu
Kupata wutesia kelomba,Utapata msaada ukiomba
Kusenekane vilambo viseko vako,Usipeane vitu visivyo vyako
Kwaki kwaweghora te?,Mbona wasema uongo?
Kama kusedimagha kunighorie nimanye,Kama huwezi uniambie nijue
Udakambira toe kuwuya nyumbenyi,Huchelewa usiku kila siku kurudi nyumbani
Kukaba mori nakio ndekupoie,Kupiga mbinja usiku si vizuri/hakufai
Kuseleghe kewangwa,Usikatae ukiitwa
Matofali ghachika,Matofali yamevunjika
Wawurieghe iruwa jhiseneng'enere,Aliruda kabla jua kutua
Kwalaghasha ki kwawechilola?,Umepoteza nini unakitafuta?
Mlamu wocha nakio,Shemeji alikuja usiku
Ighegho jhake jhewoa,Jino lake limeoza
Ni inyo mwadumwa?,Ni ninyi mumetumwa?
Wunjenyi momu mughore dadikia,Rudisheni ujumbe mseme tumekubali
Wasai wofwanana na mae,Wasai amefanana na mamake
Kifumbi chapo chakuka msumari,Kiti changi kimeng'oka msumari
Lwakule lwapo lwabuka sena,Kucha yangu imemea tena
Sipoilwagha ni kuwuria malagho,Sipendi kurudia maneno
Fuma aho,Toka hapo
Kuhia kesarighia modo,Utachomeka ukichezea moto
Fwandi yapo yebwaghwa ni mwandinya,Beberu wangu aliuliwa na chui
Ndigha yeka na singo ndacha,Twiga ana shingo ndefu
Nambe sena ni kiding'a,Kumbe tena ni mwizi
Ukewuya muche muniwange,Akirudi mje mniite
Nialowua mwaka ghuchagha,Nitaoa mwaka ujao
Neka na wada bana,Nina Watoto wanne
Sena nambe kwaichi kubora,Kumbe tena wajua kuimba?
Kwaichi kwao ni hao?,Wajua kwao ni wapi?
Niredie chuo chapo,Niletee kitabu change
Ukalegha sighana na omoni,Akikataa wachana naye
Wandu wose wafuma,Watu wote wametoka
Ni umweri ucheghe,Ni mmoja alikuja
Kusenitale kwa vindo kekedeka,Usinihesabu kwa chakula ukipika
Toa kiserere kama cha kata,Onja chumbi kama imetosha
Kusenyo machi gha vua,Usinywe maji ya mvua
Wajiwadia kiwonu,Amejishika kiuno
Winekenyi wavi hishima,Wapeni wazazi heshima
Wolagasha mfunguo,Alipoteza ufunguo
Wolemwa nikubonya chaghu,Alishindwa kufanya kazi
Weendelia kudeda,Waliendelea kuongea
Wobwagha mbewa isakenyi,Aliuwa panya porini
Wekundana kiloli,Wanapendana kwa dhati
Wowuduka mtihani,Alianguka mtihani
Wochuria vindo,Aliongeza chakula
Udakabania kifumbi cha mkifumbi,Atawania kiti cha mwenyekiti
Nichagha mwandunyi,Nitakuja mkutanoni
Soghodera mmbenyu,Msongelee mwenzako
Ujha ni mwanidu,Yule ni ndugu yangu
Ajhe kwazamie,Pale nip abaya
Wapoilwagha ni kudeda,Anapenda kuongea
Wokumba majala,Alirusha uchafu
Ajhe niko mzinyi,Pale ndipo nyumbani
Ujha ni mbori,Yule ni mwimbaji
Kusengie mndungi,Pasiingie mtu
Fada mwatulituli,Bofya simu
Nganda yawuduka,Ukuta umeanguka
Wokufungua iguo,Alijifungua jana
Kovalwa mwaka ghusirie,Ulizaliwa mwaka jana
